Name,GP,Min,Pts,FG,FGA,2Pt,2PtA,3Pt,3PtA,3P%,FTM,FTA,Off,Def,TOT,Asts,Stls,Blks,TOs,PFs,Team,Year
Tadas Klimavicius,16,15.0,2.2,0.9,2.9,0.6,1.9,0.3,1.1,23.5,0.2,0.6,1.1,2.1,3.2,0.6,0.1,0.4,0.5,1.6,Zalgiris,2012
Tomas Delininkaitis,16,10.9,5.2,1.7,3.6,0.8,1.8,0.9,1.9,46.7,0.9,1.4,0.3,0.5,0.8,0.9,0.4,0.0,0.9,1.8,Zalgiris,2012
Vytenis Lipkevicius,12,8.6,0.8,0.3,1.0,0.3,0.8,0.1,0.3,33.3,0.1,0.1,0.4,0.9,1.3,0.5,0.4,0.0,0.2,1.7,Zalgiris,2012
Mindaugas Kuzminskas,12,8.4,2.8,0.8,1.5,0.8,0.9,0.1,0.6,14.3,1.0,1.4,0.3,1.0,1.3,0.2,0.2,0.0,0.6,0.9,Zalgiris,2012
Reeves Nelson,1,5.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,Zalgiris,2012
Povilas Butkevicius,3,3.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,,0.0,0.7,0.3,0.0,0.3,0.0,0.3,0.0,0.0,1.3,Zalgiris,2012
Arturas Milaknis,,,,,,,,,,,,,,,,,,,,,Zalgiris,2012
Paulius Jankunas,16,26.3,9.4,3.7,7.8,3.4,5.7,0.3,2.1,15.2,1.7,2.1,1.8,5.1,6.9,1.0,0.6,0.4,2.1,2.3,Zalgiris,2011
Martynas Pocius,16,23.9,10.9,3.4,8.7,2.3,4.9,1.1,3.8,30.0,2.9,4.1,0.5,2.2,2.7,2.4,0.4,0.1,2.3,2.1,Zalgiris,2011
Mantas Kalnietis,15,22.2,9.1,3.5,6.9,2.7,4.5,0.9,2.3,37.1,1.2,1.6,0.5,2.3,2.8,1.9,0.2,0.1,2.2,1.0,Zalgiris,2011
Mirza Begic,10,21.6,9.7,3.4,6.0,3.4,6.0,0.0,0.0,,2.9,4.0,1.2,3.6,4.8,0.5,0.6,2.3,1.8,3.3,Zalgiris,2011
DeJuan Collins,16,20.4,6.7,1.8,4.4,1.3,2.9,0.5,1.5,33.3,2.6,3.1,0.5,1.5,2.0,2.2,1.3,0.1,2.5,1.9,Zalgiris,2011
Dainius Salenga,10,20.2,4.8,1.6,4.7,1.2,3.2,0.4,1.5,26.7,1.2,1.4,0.6,1.0,1.6,1.1,0.6,0.1,0.2,1.8,Zalgiris,2011
Tomas Delininkaitis,16,19.6,8.8,2.4,6.2,0.8,2.1,1.6,4.1,39.4,2.4,2.8,0.2,1.8,1.9,2.0,0.5,0.0,1.6,1.8,Zalgiris,2011
Travis Watson,15,18.0,6.6,2.5,4.7,2.5,4.7,0.0,0.0,,1.5,2.5,1.6,3.1,4.7,0.7,1.0,0.5,2.0,3.9,Zalgiris,2011
Trent Plaisted,3,17.7,7.7,3.3,5.7,3.3,5.7,0.0,0.0,,1.0,2.0,1.7,4.0,5.7,0.3,0.7,0.7,2.0,3.0,Zalgiris,2011
Marcus Brown,6,16.3,3.7,1.3,5.7,0.7,3.5,0.7,2.2,30.8,0.3,0.3,0.2,1.0,1.2,0.8,0.2,0.2,1.0,2.5,Zalgiris,2011
Tadas Klimavicius,16,16.1,3.9,1.5,4.1,1.1,2.4,0.4,1.6,23.1,0.5,0.7,1.0,1.9,2.9,0.4,0.3,0.3,1.3,1.6,Zalgiris,2011
Arturas Milaknis,15,15.5,3.9,1.4,3.8,0.6,1.2,0.8,2.6,30.8,0.3,0.3,0.2,0.8,1.0,0.4,0.7,0.0,1.1,1.5,Zalgiris,2011
Boban Marjanovic,6,12.5,5.2,1.8,2.8,1.8,2.8,0.0,0.0,,1.5,2.3,1.0,2.5,3.5,0.3,0.2,0.5,1.8,1.5,Zalgiris,2011
Aleksandar Capin,5,8.6,3.4,1.2,2.2,1.0,1.8,0.2,0.4,50.0,0.8,0.8,0.4,1.4,1.8,1.2,0.2,0.0,0.6,0.8,Zalgiris,2011
Omar Samhan,3,7.7,0.7,0.0,0.3,0.0,0.3,0.0,0.0,,0.7,0.7,0.3,0.7,1.0,0.0,0.0,0.3,0.3,1.3,Zalgiris,2011
Mindaugas Kuzminskas,8,6.9,1.6,0.6,1.8,0.5,1.0,0.1,0.8,16.7,0.3,0.4,0.4,0.6,1.0,0.1,0.3,0.0,0.5,0.5,Zalgiris,2011
Mantas Kalnietis,16,30.1,9.0,3.6,7.4,2.7,4.2,0.9,3.2,27.5,1.0,1.3,0.1,2.7,2.8,3.6,1.0,0.2,2.6,1.2,Zalgiris,2010
Dainius Salenga,16,27.6,10.3,3.6,8.7,2.1,5.2,1.4,3.5,41.1,1.8,2.3,0.9,2.1,3.0,1.2,1.3,0.1,1.4,1.7,Zalgiris,2010
Marcus Brown,16,25.4,11.6,3.4,8.8,1.5,3.9,1.9,4.9,39.7,2.8,2.9,0.6,1.4,2.0,1.7,0.5,0.1,1.6,2.1,Zalgiris,2010
Tadas Klimavicius,14,25.4,7.7,2.5,6.1,1.7,4.0,0.8,2.1,36.7,1.9,2.9,1.6,2.5,4.1,0.8,0.1,0.9,1.4,1.6,Zalgiris,2010
Travis Watson,13,25.3,10.6,4.2,7.2,4.2,7.2,0.0,0.1,0.0,2.2,2.9,3.5,5.9,9.5,1.5,0.7,0.7,2.4,3.2,Zalgiris,2010
Mirza Begic,16,19.8,7.4,2.8,4.8,2.8,4.8,0.0,0.0,,1.8,2.4,1.3,2.8,4.0,0.5,0.5,1.3,1.4,2.9,Zalgiris,2010
Martynas Pocius,16,19.3,8.1,2.5,6.0,1.4,3.1,1.1,2.9,38.3,2.0,2.8,0.4,1.6,2.1,1.4,0.6,0.3,2.1,2.1,Zalgiris,2010
Aleksandar Capin,7,18.9,6.4,2.1,7.6,1.3,4.0,0.9,3.6,24.0,1.3,1.9,1.3,2.0,3.3,2.4,0.6,0.0,2.3,1.7,Zalgiris,2010
Mario Delas,6,13.8,4.5,1.2,2.3,1.2,2.2,0.0,0.2,0.0,2.2,2.7,0.8,1.3,2.2,0.7,0.2,0.0,0.8,3.3,Zalgiris,2010
Siim-Sander Vene,6,10.8,2.0,0.8,2.0,0.8,1.0,0.0,1.0,0.0,0.3,0.7,0.7,1.2,1.8,0.2,0.0,0.2,1.0,1.0,Zalgiris,2010
Adas Juskevicius,9,8.9,2.0,0.8,1.9,0.7,1.2,0.1,0.7,16.7,0.3,0.4,0.3,0.6,0.9,0.2,0.2,0.0,0.8,0.7,Zalgiris,2010
